anno,trib_cp,accensione_cp,oneri_cp,rimborsi_cp,totale_spese_cp
2008,453581106800.0,242723743676.0,86033465370.0,194473459239.0,748515568848.4299
2009,441152358367.0,296073180684.01,79536385045.0,215959996068.0,774248005925.0
2010,443439701579.0,288860698150.97,76138778671.0,224953706265.0,769317140332.2703
2011,452260716000.0,243222795795.0,80278961066.0,197215770002.0,736519195217.0
2012,482458877000.0,266671739280.0,89337889436.0,248403803109.0,803681032748.0
2013,470025411000.0,249632036346.69,90751655035.0,199491812492.0,799534732525.64
2014,478538136436.0,290692196308.0,91514880977.0,226889701082.0,847658343965.0
2015,478138006060.0,304651577302.0,81438236075.0,233062540378.0,857770641326.0
2016,487774944898.0,258096150793.0,80062935485.0,218730338696.0,829263626322.0
2017,497001810000.0,314194723378.0,77974578481.0,251227376595.0,882968268862.9999
2018,504526017315.0,273957994749.0,76297537075.0,225940397085.0,854292452015.0
2019,505532000946.0,292110847859.0,77899495447.0,228958922936.0,871111622356.0
2020,462924910351.0,529827509738.0,75694457099.0,263735357874.0,1138719668290.5
2021,505228054766.0,568749479951.0,79267352234.0,284960155867.0,1156763066278.0
2022,589553217330.0,491397107670.0,74505249413.0,272601697216.0,1155924302997.0
2023,585809108444.0,536016448849.0,86435893704.0,308620710528.0,1214701405766.0
2024,620228202538.15,527364178691.0,96760345566.0,321899850015.0,1245154660984.0
2025,651975240057.0,473525966755.0,105672116525.0,285559578485.0,1227125593744.0
