anno,accensione_bdap_mln_eur,fabbisogno_fpi_mln_eur,delta_mln_eur
2008,242724.0,56528.0,186196.0
2009,296073.0,100508.0,195565.0
2010,288861.0,81076.0,207784.0
2011,243223.0,41482.0,201741.0
2012,266672.0,75527.0,191145.0
2013,249632.0,80891.0,168742.0
2014,290692.0,75580.0,215112.0
2015,304652.0,40391.0,264260.0
2016,258096.0,51005.0,207091.0
2017,314195.0,46081.0,268114.0
2018,273958.0,45731.0,228227.0
2019,292111.0,33133.0,258978.0
2020,529828.0,165467.0,364361.0
2021,568749.0,100741.0,468008.0
2022,491397.0,42921.0,448476.0
2023,536016.0,95900.0,440117.0
2024,531178.0,93114.0,438064.0
