mese,fabbisogno_mln_eur,variazione_stock_mln_eur,sfa_implicito_mln_eur
2023-07,9687.0,10194.0,508.0
2023-08,-19004.0,-18456.0,547.0
2023-09,3754.0,3796.0,42.0
2023-10,21439.0,23246.0,1807.0
2023-11,-13390.0,-12320.0,1071.0
2023-12,8051.0,7717.0,-334.0
2024-01,-12937.0,-14209.0,-1272.0
2024-02,22262.0,22550.0,288.0
2024-03,22992.0,22400.0,-591.0
2024-04,10094.0,11096.0,1002.0
2024-05,11038.0,13123.0,2085.0
2024-06,28127.0,29525.0,1399.0
2024-07,-3844.0,-3084.0,760.0
2024-08,11618.0,11832.0,214.0
2024-09,-276.0,-257.0,19.0
2024-10,19283.0,19058.0,-226.0
2024-11,24230.0,23988.0,-242.0
2024-12,-39472.0,-38993.0,479.0
2025-01,15031.0,14572.0,-458.0
2025-02,41688.0,42402.0,714.0
2025-03,9773.0,9596.0,-178.0
2025-04,28085.0,29452.0,1366.0
2025-05,-11080.0,-9846.0,1235.0
2025-06,17404.0,18186.0,782.0
2025-07,-15104.0,-15254.0,-150.0
2025-08,24628.0,25314.0,686.0
2025-09,-568.0,-396.0,173.0
2025-10,49817.0,49963.0,147.0
2025-11,-6558.0,-6673.0,-115.0
2025-12,-28856.0,-28435.0,421.0
2026-01,16864.0,16103.0,-762.0
2026-02,26626.0,26818.0,192.0
2026-03,20600.0,19382.0,-1217.0
2026-04,-5806.0,-3718.0,2087.0
2026-05,22956.0,26591.0,3635.0
2026-06,23035.0,26184.0,3149.0
