anno,fpi_dic_mln_eur,eurostat_mln_eur,delta_pct,anomalia
1995,1179588.7,1096649.1,-7.03,SI
1996,1245731.4,1260410.3,1.18,no
1997,1275677.7,1271893.8,-0.3,no
1998,1299741.3,1299741.3,0.0,no
1999,1331320.6,1331320.6,0.0,no
2000,1353569.3,1353569.3,0.0,no
2001,1420026.6,1420026.6,0.0,no
2002,1436141.8,1436141.8,0.0,no
2003,1470950.9,1470950.9,0.0,no
2004,1526472.1,1526472.1,0.0,no
2005,1591674.2,1591674.2,0.0,no
2006,1657478.6,1657478.6,0.0,no
2007,1677896.6,1677896.6,0.0,no
2008,1739108.6,1739108.6,0.0,no
2009,1839805.5,1839805.5,0.0,no
2010,1921443.5,1921443.5,0.0,no
2011,1974407.5,1974407.5,0.0,no
2012,2055839.8,2055839.8,0.0,no
2013,2137704.9,2137704.9,0.0,no
2014,2205114.1,2205114.1,0.0,no
2015,2241939.6,2241939.6,0.0,no
2016,2288631.1,2288631.1,0.0,no
2017,2333136.6,2333136.6,0.0,no
2018,2385736.4,2385736.4,0.0,no
2019,2415645.6,2415645.6,0.0,no
2020,2578177.3,2578177.3,0.0,no
2021,2686742.9,2686742.9,0.0,no
2022,2764481.2,2764481.2,0.0,no
2023,2869976.2,2869976.2,0.0,no
2024,2967004.1,2967004.1,0.0,no
2025,3095887.6,3095887.6,0.0,no
