anno,fpi_dic_mln_eur,ocpi_mln_eur,delta_pct,anomalia
1861,1.7,1.7,0.0,no
1862,1.8,1.8,0.0,no
1863,2.1,2.1,0.0,no
1864,2.6,2.6,0.0,no
1865,3.0,3.0,0.0,no
1866,3.4,3.4,0.0,no
1867,4.0,4.0,0.0,no
1868,4.2,4.2,0.0,no
1869,4.3,4.3,0.0,no
1870,4.7,4.7,0.0,no
1871,4.9,4.9,0.0,no
1872,5.0,5.0,0.0,no
1873,5.1,5.1,0.0,no
1874,4.8,4.8,0.0,no
1875,4.8,4.8,0.0,no
1876,5.5,5.5,0.0,no
1877,5.6,5.6,0.0,no
1878,5.6,5.6,0.0,no
1879,5.6,5.6,0.0,no
1880,5.5,5.5,0.0,no
1881,6.1,6.1,0.0,no
1882,6.6,6.6,0.0,no
1883,6.5,6.5,0.0,no
1884,6.5,6.5,0.0,no
1885,6.4,6.4,0.0,no
1886,6.5,6.5,0.0,no
1887,6.6,6.6,0.0,no
1888,6.8,6.8,0.0,no
1889,7.0,7.0,0.0,no
1890,7.0,7.0,0.0,no
1891,7.2,7.2,0.0,no
1892,7.3,7.3,0.0,no
1893,7.3,7.3,0.0,no
1894,7.6,7.6,0.0,no
1895,7.6,7.6,0.0,no
1896,7.8,7.8,0.0,no
1897,7.9,7.9,0.0,no
1898,8.0,8.0,0.0,no
1899,8.0,8.0,0.0,no
1900,8.0,8.0,0.0,no
1901,7.9,7.9,0.0,no
1902,7.9,7.9,0.0,no
1903,7.9,7.9,0.0,no
1904,8.0,8.0,0.0,no
1905,8.1,8.1,0.0,no
1906,8.1,8.1,0.0,no
1907,8.2,8.2,0.0,no
1908,8.4,8.4,0.0,no
1909,8.5,8.5,0.0,no
1910,8.7,8.7,0.0,no
1911,8.8,8.8,0.0,no
1912,9.1,9.1,0.0,no
1913,9.4,9.4,0.0,no
1914,10.0,10.0,0.0,no
1915,12.6,12.6,0.0,no
1916,15.9,15.9,0.0,no
1917,26.6,26.6,0.0,no
1918,36.2,36.2,0.0,no
1919,56.4,56.4,0.0,no
1920,90.9,90.9,0.0,no
1921,91.4,91.4,0.0,no
1922,90.9,90.9,0.0,no
1923,98.9,98.9,0.0,no
1924,103.0,103.0,0.0,no
1925,92.9,92.9,0.0,no
1926,84.9,84.9,0.0,no
1927,84.4,84.4,0.0,no
1928,82.8,82.8,0.0,no
1929,83.1,83.1,0.0,no
1930,83.3,83.3,0.0,no
1931,72.2,72.2,0.0,no
1932,55.7,55.7,0.0,no
1933,57.2,57.2,0.0,no
1934,60.2,60.2,0.0,no
1935,61.1,61.1,0.0,no
1936,66.6,66.6,0.0,no
1937,70.2,70.2,0.0,no
1938,75.4,75.4,0.0,no
1939,81.7,81.7,0.0,no
1940,99.6,99.6,0.0,no
1941,140.7,140.7,0.0,no
1942,194.9,194.9,0.0,no
1943,262.6,262.6,0.0,no
1944,397.8,397.8,0.0,no
1945,574.1,574.1,0.0,no
1946,752.8,752.8,0.0,no
1947,926.4,926.4,0.0,no
1948,1230.4,1230.4,0.0,no
1949,1445.6,1445.6,0.0,no
1950,1615.1,1615.1,0.0,no
1951,1907.1,1907.1,0.0,no
1952,2191.4,2191.4,0.0,no
1953,2492.0,2492.0,0.0,no
1954,2794.9,2794.9,0.0,no
1955,3078.4,3078.4,0.0,no
1956,3261.7,3261.7,0.0,no
1957,3440.6,3440.6,0.0,no
1958,3688.7,3688.7,0.0,no
1959,4056.0,4056.0,0.0,no
1960,4214.3,4214.3,0.0,no
1961,4485.5,4485.5,0.0,no
1962,4866.4,4866.4,0.0,no
