anno,oneri_bdap_mln_eur,interessi_ocpi_mln_eur,delta_mln_eur,delta_pct
2008,86033.0,80542.0,5491.0,6.8
2009,79536.0,69701.0,9836.0,14.1
2010,76139.0,69572.0,6567.0,9.4
2011,80279.0,76239.0,4040.0,5.3
2012,89338.0,83278.0,6060.0,7.3
2013,90752.0,77821.0,12931.0,16.6
2014,91515.0,75250.0,16265.0,21.6
2015,81438.0,68194.0,13244.0,19.4
2016,80063.0,66489.0,13574.0,20.4
2017,77975.0,64546.0,13428.0,20.8
2018,76298.0,63999.0,12299.0,19.2
2019,77899.0,59534.0,18365.0,30.8
2020,75694.0,56780.0,18914.0,33.3
2021,79267.0,62645.0,16622.0,26.5
2022,74505.0,81921.0,-7416.0,-9.1
2023,86436.0,77139.0,9297.0,12.1
2024,96760.0,85879.0,10881.0,12.7
2025,105672.0,85806.0,19866.0,23.2
