mese,ufficiale_mln_eur,isin_mln_eur,delta_mln_eur,delta_pct,anomalia
2026-08,37632.0,37632.0,0.0,0.0,no
2026-09,52719.0,47716.0,-5003.0,-9.49,SI
2026-10,9900.0,9900.0,0.0,0.0,no
2026-11,30051.0,30051.0,0.0,0.0,no
2026-12,33495.0,34370.0,875.0,2.61,SI
2027-01,34914.0,35914.0,1000.0,2.86,SI
2027-02,43800.0,43800.0,0.0,0.0,no
2027-03,8000.0,8000.0,0.0,0.0,no
2027-04,25800.0,25800.0,0.0,0.0,no
2027-05,10050.0,10050.0,0.0,0.0,no
2027-06,45561.0,46561.0,1000.0,2.19,SI
2027-07,22921.0,22921.0,0.0,0.0,no
